"","ESG","Sub category","Ambition level","Target"
"62","Governance","Ownership structure","Industry leader","Ensure a healthy financial structure, such as debt levels are kept at sustainable levels, transparently disclose capital structure, update, disclose and publicise shareholder register and structure capital for long-term decision making"
"63","Governance","Ownership structure","REGENERATION","Ensure a healthy financial structure, such as debt levels are kept at sustainable levels, transparently disclose capital structure, update, disclose and publicise shareholder register and structure capital for long-term decision making"
"64","Governance","Corporate governance","Risk management","Continue BAU - adhere to regulatory requirements surrounding competition and corruption"
"65","Governance","Corporate governance","Hygiene factors","Continue BAU - adhere to regulatory requirements surrounding competition and corruption, disclose corporate governance documents, ethical standards and board and management decision making processes"
"66","Governance","Corporate governance","Quick wins","Continue BAU - adhere to regulatory requirements surrounding competition and corruption, disclose corporate governance documents, ethical standards, board and management decision making processes, increase the level and frequency of engagement with invstors and incorporate ESG updates in investor communications"
"67","Governance","Corporate governance","Aspirational","Continue BAU - adhere to regulatory requirements surrounding competition and corruption, disclose corporate governance documents, ethical standards, board and management decision making processes, increase the level and frequency of engagement with invstors, incorporate ESG updates in investor communications and strengthen risk management strategy"
"68","Governance","Corporate governance","Fast follower","Continue BAU - adhere to regulatory requirements surrounding competition and corruption, disclose corporate governance documents, ethical standards, board and management decision making processes, increase the level and frequency of engagement with invstors, incorporate ESG updates in investor communications, strengthen risk management strategy and continue the People and Governance Committee"
"69","Governance","Corporate governance","Industry leader","Continue BAU - adhere to regulatory requirements surrounding competition and corruption, disclose corporate governance documents, ethical standards, board and management decision making processes, increase the level and frequency of engagement with invstors, incorporate ESG updates in investor communications, strengthen risk management strategy, continue the People and Governance Committee, ensure a strong skill mix on board and executive team for balanced and informed decision making and have clear succession plans in place"
"70","Governance","Corporate governance","REGENERATION","Continue BAU - adhere to regulatory requirements surrounding competition and corruption, disclose corporate governance documents, ethical standards, board and management decision making processes, increase the level and frequency of engagement with invstors, incorporate ESG updates in investor communications, strengthen risk management strategy, continue the People and Governance Committee, ensure a strong skill mix on board and executive team for balanced and informed decision making, have clear succession plans in place, introduce a sustainability lead and tie bonuses and incentives to sustainability targets"
"71","Governance","Reporting","Risk management","Continue BAU - adhere to minimum reporting standards"
"72","Governance","Reporting","Hygiene factors","Adhere reporting standards and ensure transparent disclosure of remuneration and incentive plans and policies"
"73","Governance","Reporting","Quick wins","Adhere reporting standards, ensure transparent disclosure of remuneration and incentive plans and policies and publish an annual sustainability report"
"74","Governance","Reporting","Aspirational","Adhere reporting standards, ensure transparent disclosure of remuneration and incentive plans and policies and publish an annual sustainability report with the use of an ESG framework such as the SDG framework and report on common ESG metrics (e.g., scope 1 emissions)"
"75","Governance","Reporting","Fast follower","Adhere reporting standards, ensure transparent disclosure of remuneration and incentive plans and policies and publish an annual sustainability report with the use of an ESG framework such as the SDG framework and provide more detailed breakdowns of common ESG metrics (e.g., scope 2 emissions and gender breakdown by level in business)"
"76","Governance","Reporting","Industry leader","Adhere reporting standards, ensure transparent disclosure of remuneration and incentive plans and policies and publish an annual sustainability report with the use a range of ESG frameworks such as the SDG, GRI, SASB and TCFD framework and provide even more detailed breakdowns of common ESG metrics (e.g., scope 2 and 3 emissions and gender breakdown by level in business)"
"77","Governance","Reporting","REGENERATION","Adhere reporting standards, ensure transparent disclosure of remuneration and incentive plans and policies and publish an annual sustainability report with the use a range of ESG frameworks such as the SDG, GRI, SASB and TCFD framework, provide even more detailed breakdowns of common ESG metrics (e.g., scope 2 and 3 emissions and gender breakdown by level in business) and report on less common ESG metrics to show progress in relevant areas"
