ESG,Subcategory,Ambition.level,Years,Opportunity,Shortlist (Env.),Shortlist (Soc.),Shortlist (Gov.),Time period,% of total,Priority initiatives,Include? (Y/N), Total estimated cost , Cost based on ambition ,Annual cost,Annual.fixed.cost,Annual.variable.cost,Type of expense,Sources,Comments,ROI group,ROI,Total.value.growing,Total.value.uniform,Type of value dist.,Flag to review,Already pursued by Healius
Social,Community contribution,Industry leader,<10 years,Develop and lead research programs and initiatives (R&D),0,0,0,10,85%,,Y,"2,400,600","2,040,510","2,040,510", -   ,"2,040,510",Annual,"https://www.statista.com/statistics/270233/percentage-of-global-rundd-spending-by-industry/#:~:text=In%202016%2C%20the%20industry%20spent,in%20order%20to%20remain%20competitive.","Assumes 15% of annual revenue spent on R&D (avg. based on 15% R&D), with a 1% increase",High (+),3%,"21,017,253", -   ,Growing,,
Social,Community contribution,REGENERATION,1-3 years,Develop and lead research programs and initiatives (R&D),0,1,0,3,100%,,Y,"2,400,600","2,400,600","2,400,600", -   ,"2,400,600",Annual,"https://www.statista.com/statistics/270233/percentage-of-global-rundd-spending-by-industry/#:~:text=In%202016%2C%20the%20industry%20spent,in%20order%20to%20remain%20competitive.","Assumes 15% of annual revenue spent on R&D (avg. based on 15% R&D), with a 1% increase",High (+),3%,"24,726,180", -   ,Growing,,
Social,Community contribution,REGENERATION,<5 years,Develop and lead research programs and initiatives (R&D),0,0,0,5,100%,,Y,"2,400,600","2,400,600","2,400,600", -   ,"2,400,600",Annual,"https://www.statista.com/statistics/270233/percentage-of-global-rundd-spending-by-industry/#:~:text=In%202016%2C%20the%20industry%20spent,in%20order%20to%20remain%20competitive.","Assumes 15% of annual revenue spent on R&D (avg. based on 15% R&D), with a 1% increase",High (+),3%,"24,726,180", -   ,Growing,,
Social,Community contribution,REGENERATION,<10 years,Develop and lead research programs and initiatives (R&D),0,0,0,10,100%,,Y,"2,400,600","2,400,600","2,400,600", -   ,"2,400,600",Annual,"https://www.statista.com/statistics/270233/percentage-of-global-rundd-spending-by-industry/#:~:text=In%202016%2C%20the%20industry%20spent,in%20order%20to%20remain%20competitive.","Assumes 15% of annual revenue spent on R&D (avg. based on 15% R&D), with a 1% increase",High (+),3%,"24,726,180", -   ,Growing,,
Social,Community contribution,Hygiene factors,1-3 years,Commit to no animal testing,0,0,0,3,100%,,Y, -   , -   , -   , -   , -   ,Annual,,TBC - currently assumes no cost,Neutral,3%, -   , -   ,Uniform,,
Social,Community contribution,Hygiene factors,<5 years,Commit to no animal testing,0,0,0,5,100%,,Y, -   , -   , -   , -   , -   ,Annual,,TBC - currently assumes no cost,Neutral,3%, -   , -   ,Uniform,,
Social,Community contribution,Hygiene factors,<10 years,Commit to no animal testing,0,0,0,10,100%,,Y, -   , -   , -   , -   , -   ,Annual,,TBC - currently assumes no cost,Neutral,3%, -   , -   ,Uniform,,
Social,Community contribution,Quick wins,1-3 years,Commit to no animal testing,0,0,0,3,100%,,Y, -   , -   , -   , -   , -   ,Annual,,TBC - currently assumes no cost,Neutral,3%, -   , -   ,Uniform,,
Social,Community contribution,Quick wins,<5 years,Commit to no animal testing,0,0,0,5,100%,,Y, -   , -   , -   , -   , -   ,Annual,,TBC - currently assumes no cost,Neutral,3%, -   , -   ,Uniform,,
Social,Community contribution,Quick wins,<10 years,Commit to no animal testing,0,0,0,10,100%,,Y, -   , -   , -   , -   , -   ,Annual,,TBC - currently assumes no cost,Neutral,3%, -   , -   ,Uniform,,
Social,Community contribution,Aspirational,1-3 years,Commit to no animal testing,0,0,0,3,100%,,Y, -   , -   , -   , -   , -   ,Annual,,TBC - currently assumes no cost,Neutral,3%, -   , -   ,Uniform,,
Social,Community contribution,Aspirational,<5 years,Commit to no animal testing,0,0,0,5,100%,,Y, -   , -   , -   , -   , -   ,Annual,,TBC - currently assumes no cost,Neutral,3%, -   , -   ,Uniform,,
Social,Community contribution,Aspirational,<10 years,Commit to no animal testing,0,0,0,10,100%,,Y, -   , -   , -   , -   , -   ,Annual,,TBC - currently assumes no cost,Neutral,3%, -   , -   ,Uniform,,
Social,Community contribution,Fast follower,1-3 years,Commit to no animal testing,0,0,0,3,100%,,Y, -   , -   , -   , -   , -   ,Annual,,TBC - currently assumes no cost,Neutral,3%, -   , -   ,Uniform,,
Social,Community contribution,Fast follower,<5 years,Commit to no animal testing,0,0,0,5,100%,,Y, -   , -   , -   , -   , -   ,Annual,,TBC - currently assumes no cost,Neutral,3%, -   , -   ,Uniform,,
Social,Community contribution,Fast follower,<10 years,Commit to no animal testing,0,0,0,10,100%,,Y, -   , -   , -   , -   , -   ,Annual,,TBC - currently assumes no cost,Neutral,3%, -   , -   ,Uniform,,
Social,Community contribution,Industry leader,1-3 years,Commit to no animal testing,0,0,0,3,100%,,Y, -   , -   , -   , -   , -   ,Annual,,TBC - currently assumes no cost,Neutral,3%, -   , -   ,Uniform,,
Social,Community contribution,Industry leader,<5 years,Commit to no animal testing,0,0,0,5,100%,,Y, -   , -   , -   , -   , -   ,Annual,,TBC - currently assumes no cost,Neutral,3%, -   , -   ,Uniform,,
Social,Community contribution,Industry leader,<10 years,Commit to no animal testing,0,0,0,10,100%,,Y, -   , -   , -   , -   , -   ,Annual,,TBC - currently assumes no cost,Neutral,3%, -   , -   ,Uniform,,
Social,Community contribution,REGENERATION,1-3 years,Commit to no animal testing,0,1,0,3,100%,,Y, -   , -   , -   , -   , -   ,Annual,,TBC - currently assumes no cost,Neutral,3%, -   , -   ,Uniform,,
Social,Community contribution,REGENERATION,<5 years,Commit to no animal testing,0,0,0,5,100%,,Y, -   , -   , -   , -   , -   ,Annual,,TBC - currently assumes no cost,Neutral,3%, -   , -   ,Uniform,,
Social,Community contribution,REGENERATION,<10 years,Commit to no animal testing,0,0,0,10,100%,,Y, -   , -   , -   , -   , -   ,Annual,,TBC - currently assumes no cost,Neutral,3%, -   , -   ,Uniform,,
Social,Community contribution,Industry leader,1-3 years,Support volunteering activities for employees (e.g. volunteering leave),0,0,0,3,75%,,Y,"1,275,156","956,367","956,367", -   ,"956,367",Annual,,"Assumes 1 day of volunteer leave (paid at 50%) (where employees are assumed to work 240 days per year (5 days * 48 weeks), where 75% of employees take up offer",Low (+),3%,"9,850,582", -   ,Growing,,
Social,Community contribution,Industry leader,<5 years,Support volunteering activities for employees (e.g. volunteering leave),0,0,0,5,75%,,Y,"1,275,156","956,367","956,367", -   ,"956,367",Annual,,"Assumes 1 day of volunteer leave (paid at 50%) (where employees are assumed to work 240 days per year (5 days * 48 weeks), where 75% of employees take up offer",Low (+),3%,"9,850,582", -   ,Growing,,
Social,Community contribution,Industry leader,<10 years,Support volunteering activities for employees (e.g. volunteering leave),0,0,0,10,75%,,Y,"1,275,156","956,367","956,367", -   ,"956,367",Annual,,"Assumes 1 day of volunteer leave (paid at 50%) (where employees are assumed to work 240 days per year (5 days * 48 weeks), where 75% of employees take up offer",Low (+),3%,"9,850,582", -   ,Growing,,
Social,Community contribution,REGENERATION,1-3 years,Support volunteering activities for employees (e.g. volunteering leave),0,1,0,3,100%,,Y,"1,275,156","1,275,156","1,275,156", -   ,"1,275,156",Annual,,"Assumes 1 day of volunteer leave (paid at 50%) (where employees are assumed to work 240 days per year (5 days * 48 weeks), where 75% of employees take up offer",Low (+),3%,"13,134,109", -   ,Growing,,
Social,Community contribution,REGENERATION,<5 years,Support volunteering activities for employees (e.g. volunteering leave),0,0,0,5,100%,,Y,"1,275,156","1,275,156","1,275,156", -   ,"1,275,156",Annual,,"Assumes 1 day of volunteer leave (paid at 50%) (where employees are assumed to work 240 days per year (5 days * 48 weeks), where 75% of employees take up offer",Low (+),3%,"13,134,109", -   ,Growing,,
Social,Community contribution,REGENERATION,<10 years,Support volunteering activities for employees (e.g. volunteering leave),0,0,0,10,100%,,Y,"1,275,156","1,275,156","1,275,156", -   ,"1,275,156",Annual,,"Assumes 1 day of volunteer leave (paid at 50%) (where employees are assumed to work 240 days per year (5 days * 48 weeks), where 75% of employees take up offer",Low (+),3%,"13,134,109", -   ,Growing,,
Social,Community contribution,Quick wins,1-3 years,Provide access to medical support in regional/disadvantaged communities,0,0,0,3,30%,,Y,"200,000","60,000","60,000", -   ,"60,000",Annual,,"Assumes $200,000 put aside for supporting regional and disadvatnaged communities annually",Low (+),3%,"618,000", -   ,Growing,,
Social,Community contribution,Quick wins,<5 years,Provide access to medical support in regional/disadvantaged communities,0,0,0,5,30%,,Y,"200,000","60,000","60,000", -   ,"60,000",Annual,,"Assumes $200,000 put aside for supporting regional and disadvatnaged communities annually",Low (+),3%,"618,000", -   ,Growing,,
Social,Community contribution,Quick wins,<10 years,Provide access to medical support in regional/disadvantaged communities,0,0,0,10,30%,,Y,"200,000","60,000","60,000", -   ,"60,000",Annual,,"Assumes $200,000 put aside for supporting regional and disadvatnaged communities annually",Low (+),3%,"618,000", -   ,Growing,,
Social,Community contribution,Aspirational,1-3 years,Provide access to medical support in regional/disadvantaged communities,0,0,0,3,50%,,Y,"200,000","100,000","100,000", -   ,"100,000",Annual,,"Assumes $200,000 put aside for supporting regional and disadvatnaged communities annually",Low (+),3%,"1,030,000", -   ,Growing,,
Social,Community contribution,Aspirational,<5 years,Provide access to medical support in regional/disadvantaged communities,0,0,0,5,50%,,Y,"200,000","100,000","100,000", -   ,"100,000",Annual,,"Assumes $200,000 put aside for supporting regional and disadvatnaged communities annually",Low (+),3%,"1,030,000", -   ,Growing,,
Social,Community contribution,Aspirational,<10 years,Provide access to medical support in regional/disadvantaged communities,0,0,0,10,50%,,Y,"200,000","100,000","100,000", -   ,"100,000",Annual,,"Assumes $200,000 put aside for supporting regional and disadvatnaged communities annually",Low (+),3%,"1,030,000", -   ,Growing,,
Social,Community contribution,Fast follower,1-3 years,Provide access to medical support in regional/disadvantaged communities,0,0,0,3,75%,,Y,"200,000","150,000","150,000", -   ,"150,000",Annual,,"Assumes $200,000 put aside for supporting regional and disadvatnaged communities annually",Low (+),3%,"1,545,000", -   ,Growing,,
Social,Community contribution,Fast follower,<5 years,Provide access to medical support in regional/disadvantaged communities,0,0,0,5,75%,,Y,"200,000","150,000","150,000", -   ,"150,000",Annual,,"Assumes $200,000 put aside for supporting regional and disadvatnaged communities annually",Low (+),3%,"1,545,000", -   ,Growing,,
Social,Community contribution,Fast follower,<10 years,Provide access to medical support in regional/disadvantaged communities,0,0,0,10,75%,,Y,"200,000","150,000","150,000", -   ,"150,000",Annual,,"Assumes $200,000 put aside for supporting regional and disadvatnaged communities annually",Low (+),3%,"1,545,000", -   ,Growing,,
Social,Community contribution,Industry leader,1-3 years,Provide access to medical support in regional/disadvantaged communities,0,0,0,3,85%,,Y,"200,000","170,000","170,000", -   ,"170,000",Annual,,"Assumes $200,000 put aside for supporting regional and disadvatnaged communities annually",Low (+),3%,"1,751,000", -   ,Growing,,
Social,Community contribution,Industry leader,<5 years,Provide access to medical support in regional/disadvantaged communities,0,0,0,5,85%,,Y,"200,000","170,000","170,000", -   ,"170,000",Annual,,"Assumes $200,000 put aside for supporting regional and disadvatnaged communities annually",Low (+),3%,"1,751,000", -   ,Growing,,
Social,Community contribution,Industry leader,<10 years,Provide access to medical support in regional/disadvantaged communities,0,0,0,10,85%,,Y,"200,000","170,000","170,000", -   ,"170,000",Annual,,"Assumes $200,000 put aside for supporting regional and disadvatnaged communities annually",Low (+),3%,"1,751,000", -   ,Growing,,
Social,Community contribution,REGENERATION,1-3 years,Provide access to medical support in regional/disadvantaged communities,0,1,0,3,100%,,Y,"200,000","200,000","200,000", -   ,"200,000",Annual,,"Assumes $200,000 put aside for supporting regional and disadvatnaged communities annually",Low (+),3%,"2,060,000", -   ,Growing,,
Social,Community contribution,REGENERATION,<5 years,Provide access to medical support in regional/disadvantaged communities,0,0,0,5,100%,,Y,"200,000","200,000","200,000", -   ,"200,000",Annual,,"Assumes $200,000 put aside for supporting regional and disadvatnaged communities annually",Low (+),3%,"2,060,000", -   ,Growing,,
Social,Community contribution,REGENERATION,<10 years,Provide access to medical support in regional/disadvantaged communities,0,0,0,10,100%,,Y,"200,000","200,000","200,000", -   ,"200,000",Annual,,"Assumes $200,000 put aside for supporting regional and disadvatnaged communities annually",Low (+),3%,"2,060,000", -   ,Growing,,
Social,Community contribution,Industry leader,1-3 years,Support employee giving activities (e.g. matching programs),0,0,0,3,75%,,Y,"2,500,000","1,875,000","1,875,000", -   ,"1,875,000",Annual,"https://www.fpmagazine.com.au/donations-are-up-2-379237/#:~:text=Average%20donations%20over%20the%20past,than%2050%20leading%20charities%20show.",Assumes first $200 donated will be matched,Low (+),3%,"19,312,500", -   ,Growing,,
Social,Community contribution,Industry leader,<5 years,Support employee giving activities (e.g. matching programs),0,0,0,5,75%,,Y,"2,500,000","1,875,000","1,875,000", -   ,"1,875,000",Annual,"https://www.fpmagazine.com.au/donations-are-up-2-379237/#:~:text=Average%20donations%20over%20the%20past,than%2050%20leading%20charities%20show.",Assumes first $200 donated will be matched,Low (+),3%,"19,312,500", -   ,Growing,,
Social,Community contribution,Industry leader,<10 years,Support employee giving activities (e.g. matching programs),0,0,0,10,75%,,Y,"2,500,000","1,875,000","1,875,000", -   ,"1,875,000",Annual,"https://www.fpmagazine.com.au/donations-are-up-2-379237/#:~:text=Average%20donations%20over%20the%20past,than%2050%20leading%20charities%20show.",Assumes first $200 donated will be matched,Low (+),3%,"19,312,500", -   ,Growing,,
Social,Community contribution,REGENERATION,1-3 years,Support employee giving activities (e.g. matching programs),0,0,0,3,100%,,Y,"2,500,000","2,500,000","2,500,000", -   ,"2,500,000",Annual,"https://www.fpmagazine.com.au/donations-are-up-2-379237/#:~:text=Average%20donations%20over%20the%20past,than%2050%20leading%20charities%20show.",Assumes first $200 donated will be matched,Low (+),3%,"25,750,000", -   ,Growing,,
Social,Community contribution,REGENERATION,<5 years,Support employee giving activities (e.g. matching programs),0,1,0,5,100%,,Y,"2,500,000","2,500,000","2,500,000", -   ,"2,500,000",Annual,"https://www.fpmagazine.com.au/donations-are-up-2-379237/#:~:text=Average%20donations%20over%20the%20past,than%2050%20leading%20charities%20show.",Assumes first $200 donated will be matched,Low (+),3%,"25,750,000", -   ,Growing,,
Social,Community contribution,REGENERATION,<10 years,Support employee giving activities (e.g. matching programs),0,0,0,10,100%,,Y,"2,500,000","2,500,000","2,500,000", -   ,"2,500,000",Annual,"https://www.fpmagazine.com.au/donations-are-up-2-379237/#:~:text=Average%20donations%20over%20the%20past,than%2050%20leading%20charities%20show.",Assumes first $200 donated will be matched,Low (+),3%,"25,750,000", -   ,Growing,,
Social,Community contribution,Aspirational,1-3 years,Develop a reconciliation action plan,0,0,0,3,100%,,Y,"50,000","50,000","50,000", -   ,"50,000",Annual,,"Assumes approx. $250,000 for report development as well as funding of initaitives and resources for RAP",Low (+),0%,"500,000", -   ,Growing,,
Social,Community contribution,Aspirational,<5 years,Develop a reconciliation action plan,0,0,0,5,100%,,Y,"50,000","50,000","50,000", -   ,"50,000",Annual,,"Assumes approx. $250,000 for report development as well as funding of initaitives and resources for RAP",Low (+),0%,"500,000", -   ,Growing,,
Social,Community contribution,Aspirational,<10 years,Develop a reconciliation action plan,0,0,0,10,100%,,Y,"50,000","50,000","50,000", -   ,"50,000",Annual,,"Assumes approx. $250,000 for report development as well as funding of initaitives and resources for RAP",Low (+),0%,"500,000", -   ,Growing,,
Social,Community contribution,Fast follower,1-3 years,Develop a reconciliation action plan,0,0,0,3,100%,,Y,"50,000","50,000","50,000", -   ,"50,000",Annual,,"Assumes approx. $250,000 for report development as well as funding of initaitives and resources for RAP",Low (+),0%,"500,000", -   ,Growing,,
Social,Community contribution,Fast follower,<5 years,Develop a reconciliation action plan,0,0,0,5,100%,,Y,"50,000","50,000","50,000", -   ,"50,000",Annual,,"Assumes approx. $250,000 for report development as well as funding of initaitives and resources for RAP",Low (+),0%,"500,000", -   ,Growing,,
Social,Community contribution,Fast follower,<10 years,Develop a reconciliation action plan,0,0,0,10,100%,,Y,"50,000","50,000","50,000", -   ,"50,000",Annual,,"Assumes approx. $250,000 for report development as well as funding of initaitives and resources for RAP",Low (+),0%,"500,000", -   ,Growing,,
Social,Community contribution,Industry leader,1-3 years,Develop a reconciliation action plan,0,0,0,3,100%,,Y,"50,000","50,000","50,000", -   ,"50,000",Annual,,"Assumes approx. $250,000 for report development as well as funding of initaitives and resources for RAP",Low (+),0%,"500,000", -   ,Growing,,
Social,Community contribution,Industry leader,<5 years,Develop a reconciliation action plan,0,0,0,5,100%,,Y,"50,000","50,000","50,000", -   ,"50,000",Annual,,"Assumes approx. $250,000 for report development as well as funding of initaitives and resources for RAP",Low (+),0%,"500,000", -   ,Growing,,
Social,Community contribution,Industry leader,<10 years,Develop a reconciliation action plan,0,0,0,10,100%,,Y,"50,000","50,000","50,000", -   ,"50,000",Annual,,"Assumes approx. $250,000 for report development as well as funding of initaitives and resources for RAP",Low (+),0%,"500,000", -   ,Growing,,
Social,Community contribution,REGENERATION,1-3 years,Develop a reconciliation action plan,0,0,0,3,100%,,Y,"50,000","50,000","50,000", -   ,"50,000",Annual,,"Assumes approx. $250,000 for report development as well as funding of initaitives and resources for RAP",Low (+),0%,"500,000", -   ,Growing,,
Social,Community contribution,REGENERATION,<5 years,Develop a reconciliation action plan,0,1,0,5,100%,,Y,"50,000","50,000","50,000", -   ,"50,000",Annual,,"Assumes approx. $250,000 for report development as well as funding of initaitives and resources for RAP",Low (+),0%,"500,000", -   ,Growing,,
